opponent_id,opponent_Rdiff,opponent_SRS,opponent_R_G,opponent_R,opponent_RBI,opponent_OBP,opponent_OPSP,opponent_RA,opponent_ERA,opponent_SV,opponent_HA,opponent_ER,opponent_ERAP,opponent_WHIP,opponent_pos_1_age,opponent_pos_1_R,opponent_pos_1_H,opponent_pos_1_RBI,opponent_pos_1_BB,opponent_pos_1_OPSP,opponent_pos_1_TB,opponent_pos_2_age,opponent_pos_2_R,opponent_pos_2_H,opponent_pos_2_RBI,opponent_pos_2_BB,opponent_pos_2_OPSP,opponent_pos_2_TB,opponent_pos_3_age,opponent_pos_3_R,opponent_pos_3_H,opponent_pos_3_RBI,opponent_pos_3_BB,opponent_pos_3_OPSP,opponent_pos_3_TB,opponent_pos_4_age,opponent_pos_4_R,opponent_pos_4_H,opponent_pos_4_RBI,opponent_pos_4_BB,opponent_pos_4_OPSP,opponent_pos_4_TB,opponent_starting_pitcher_age,opponent_starting_pitcher_W_L_Percentage,opponent_starting_pitcher_ERA,opponent_starting_pitcher_IP,opponent_starting_pitcher_ER,opponent_starting_pitcher_SO,opponent_starting_pitcher_ERAP,opponent_starting_pitcher_FIP,opponent_starting_pitcher_WHIP,opponent_starting_pitcher_HR9,opponent_starting_pitcher_BB9,opponent_starting_pitcher_SO9,Outcome
1748,-1.000,-1.200,4.537,735.000,5.360,0.324,98.000,4.900,84.000,32.000,1587.000,846.000,1.496,2.230,27,50,96,38,23,107.000,159,31,30,77,20,15,105.000,102,29,81,128,94,57,137.000,249,25,73,167,101,41,112.000,301,26,0.353,5.270,135.000,79,110,85,4.510,1.556,1.200,3.500,7.300,0
1815,-1.000,-1.200,4.537,735.000,5.360,0.324,98.000,4.900,84.000,32.000,1587.000,846.000,1.496,2.230,35,90,130,52,55,92.000,227,27,50,96,38,23,107.000,159,29,81,128,94,57,137.000,249,34,50,117,60,54,93.000,187,31,0.381,6.080,160.000,108,103,74,5.180,1.550,1.600,2.500,5.800,0
1830,-1.000,-1.200,4.537,735.000,5.360,0.324,98.000,4.900,84.000,32.000,1587.000,846.000,1.496,2.230,35,90,130,52,55,92.000,227,27,50,96,38,23,107.000,159,29,81,128,94,57,137.000,249,34,50,117,60,54,93.000,187,24,0.455,3.830,164.200,70,114,117,3.670,1.154,0.700,2.200,6.200,0
1845,-1.000,-1.200,4.537,735.000,5.360,0.324,98.000,4.900,84.000,32.000,1587.000,846.000,1.496,2.230,35,90,130,52,55,92.000,227,31,30,77,20,15,105.000,102,29,81,128,94,57,137.000,249,34,50,117,60,54,93.000,187,34,0.556,3.820,172.000,73,176,117,4.070,1.279,1.200,3.500,9.200,0
1872,-1.000,-1.200,4.537,735.000,5.360,0.324,98.000,4.900,84.000,32.000,1587.000,846.000,1.496,2.230,35,90,130,52,55,92.000,227,27,50,96,38,23,107.000,159,29,81,128,94,57,137.000,249,34,50,117,60,54,93.000,187,26,0.353,5.270,135.000,79,110,85,4.510,1.556,1.200,3.500,7.300,0
1887,-1.000,-1.200,4.537,735.000,5.360,0.324,98.000,4.900,84.000,32.000,1587.000,846.000,1.496,2.230,35,90,130,52,55,92.000,227,31,30,77,20,15,105.000,102,29,81,128,94,57,137.000,249,34,50,117,60,54,93.000,187,31,0.381,6.080,160.000,108,103,74,5.180,1.550,1.600,2.500,5.800,0
1899,-1.000,-1.200,4.537,735.000,5.360,0.324,98.000,4.900,84.000,32.000,1587.000,846.000,1.496,2.230,35,90,130,52,55,92.000,227,27,50,96,38,23,107.000,159,29,81,128,94,57,137.000,249,34,50,117,60,54,93.000,187,24,0.455,3.830,164.200,70,114,117,3.670,1.154,0.700,2.200,6.200,0
2008,-1.000,-1.200,4.537,735.000,5.360,0.324,98.000,4.900,84.000,32.000,1587.000,846.000,1.496,2.230,35,90,130,52,55,92.000,227,31,30,77,20,15,105.000,102,34,50,117,60,54,93.000,187,25,73,167,101,41,112.000,301,26,0.353,5.270,135.000,79,110,85,4.510,1.556,1.200,3.500,7.300,0
2009,-1.000,-1.200,4.537,735.000,5.360,0.324,98.000,4.900,84.000,32.000,1587.000,846.000,1.496,2.230,35,90,130,52,55,92.000,227,31,30,77,20,15,105.000,102,34,50,117,60,54,93.000,187,25,73,167,101,41,112.000,301,26,0.500,6.750,48.000,36,49,67,5.050,1.563,1.700,3.800,9.200,0
2024,-1.000,-1.200,4.537,735.000,5.360,0.324,98.000,4.900,84.000,32.000,1587.000,846.000,1.496,2.230,35,90,130,52,55,92.000,227,31,30,77,20,15,105.000,102,25,73,167,101,41,112.000,301,31,9,14,2,8,85.000,23,31,0.381,6.080,160.000,108,103,74,5.180,1.550,1.600,2.500,5.800,0
2040,-1.000,-1.200,4.537,735.000,5.360,0.324,98.000,4.900,84.000,32.000,1587.000,846.000,1.496,2.230,35,90,130,52,55,92.000,227,31,30,77,20,15,105.000,102,25,73,167,101,41,112.000,301,27,25,46,22,13,102.000,76,28,0.000,6.930,62.100,48,57,65,5.470,1.797,1.700,4.500,8.200,0
2057,-1.000,-1.200,4.537,735.000,5.360,0.324,98.000,4.900,84.000,32.000,1587.000,846.000,1.496,2.230,35,90,130,52,55,92.000,227,31,30,77,20,15,105.000,102,25,73,167,101,41,112.000,301,31,9,14,2,8,85.000,23,25,0.000,6.100,10.100,7,6,76,4.420,2.226,0.900,3.500,5.200,0
2071,-1.000,-1.200,4.537,735.000,5.360,0.324,98.000,4.900,84.000,32.000,1587.000,846.000,1.496,2.230,35,90,130,52,55,92.000,227,27,50,96,38,23,107.000,159,25,73,167,101,41,112.000,301,27,39,89,49,26,94.000,146,33,0.300,6.410,105.100,75,104,70,5.330,1.595,2.200,2.500,8.900,0
2086,-1.000,-1.200,4.537,735.000,5.360,0.324,98.000,4.900,84.000,32.000,1587.000,846.000,1.496,2.230,35,90,130,52,55,92.000,227,31,30,77,20,15,105.000,102,25,73,167,101,41,112.000,301,27,25,46,22,13,102.000,76,26,0.353,5.270,135.000,79,110,85,4.510,1.556,1.200,3.500,7.300,0
2191,-1.000,-1.200,4.537,735.000,5.360,0.324,98.000,4.900,84.000,32.000,1587.000,846.000,1.496,2.230,35,90,130,52,55,92.000,227,31,30,77,20,15,105.000,102,34,50,117,60,54,93.000,187,25,73,167,101,41,112.000,301,28,0.000,6.930,62.100,48,57,65,5.470,1.797,1.700,4.500,8.200,0
2205,-1.000,-1.200,4.537,735.000,5.360,0.324,98.000,4.900,84.000,32.000,1587.000,846.000,1.496,2.230,35,90,130,52,55,92.000,227,31,30,77,20,15,105.000,102,34,50,117,60,54,93.000,187,25,73,167,101,41,112.000,301,33,0.300,6.410,105.100,75,104,70,5.330,1.595,2.200,2.500,8.900,0
2220,-1.000,-1.200,4.537,735.000,5.360,0.324,98.000,4.900,84.000,32.000,1587.000,846.000,1.496,2.230,35,90,130,52,55,92.000,227,31,30,77,20,15,105.000,102,34,50,117,60,54,93.000,187,25,73,167,101,41,112.000,301,25,0.333,12.080,12.200,17,4,38,7.660,2.211,1.400,7.100,2.800,0
2235,-1.000,-1.200,4.537,735.000,5.360,0.324,98.000,4.900,84.000,32.000,1587.000,846.000,1.496,2.230,35,90,130,52,55,92.000,227,23,16,31,13,12,133.000,44,25,73,167,101,41,112.000,301,27,25,46,22,13,102.000,76,26,0.353,5.270,135.000,79,110,85,4.510,1.556,1.200,3.500,7.300,0
2245,-1.000,-1.200,4.537,735.000,5.360,0.324,98.000,4.900,84.000,32.000,1587.000,846.000,1.496,2.230,35,90,130,52,55,92.000,227,23,16,31,13,12,133.000,44,34,50,117,60,54,93.000,187,25,73,167,101,41,112.000,301,26,0.500,6.750,48.000,36,49,67,5.050,1.563,1.700,3.800,9.200,0
2256,-1.000,-1.200,4.537,735.000,5.360,0.324,98.000,4.900,84.000,32.000,1587.000,846.000,1.496,2.230,35,90,130,52,55,92.000,227,31,30,77,20,15,105.000,102,34,50,117,60,54,93.000,187,25,73,167,101,41,112.000,301,28,0.000,6.930,62.100,48,57,65,5.470,1.797,1.700,4.500,8.200,0
2271,-1.000,-1.200,4.537,735.000,5.360,0.324,98.000,4.900,84.000,32.000,1587.000,846.000,1.496,2.230,31,30,77,20,15,105.000,102,23,16,31,13,12,133.000,44,34,50,117,60,54,93.000,187,25,73,167,101,41,112.000,301,33,0.300,6.410,105.100,75,104,70,5.330,1.595,2.200,2.500,8.900,0
2284,-1.000,-1.200,4.537,735.000,5.360,0.324,98.000,4.900,84.000,32.000,1587.000,846.000,1.496,2.230,35,90,130,52,55,92.000,227,23,16,31,13,12,133.000,44,34,50,117,60,54,93.000,187,25,73,167,101,41,112.000,301,31,0.381,6.080,160.000,108,103,74,5.180,1.550,1.600,2.500,5.800,0
2298,-1.000,-1.200,4.537,735.000,5.360,0.324,98.000,4.900,84.000,32.000,1587.000,846.000,1.496,2.230,35,90,130,52,55,92.000,227,31,30,77,20,15,105.000,102,34,50,117,60,54,93.000,187,25,73,167,101,41,112.000,301,24,0.385,5.310,101.200,60,86,84,4.390,1.613,1.100,3.900,7.600,0
2313,-1.000,-1.200,4.537,735.000,5.360,0.324,98.000,4.900,84.000,32.000,1587.000,846.000,1.496,2.230,35,90,130,52,55,92.000,227,31,30,77,20,15,105.000,102,34,50,117,60,54,93.000,187,25,73,167,101,41,112.000,301,26,0.353,5.270,135.000,79,110,85,4.510,1.556,1.200,3.500,7.300,0
2328,-1.000,-1.200,4.537,735.000,5.360,0.324,98.000,4.900,84.000,32.000,1587.000,846.000,1.496,2.230,35,90,130,52,55,92.000,227,31,30,77,20,15,105.000,102,25,73,167,101,41,112.000,301,31,9,14,2,8,85.000,23,26,0.500,6.750,48.000,36,49,67,5.050,1.563,1.700,3.800,9.200,0
