id,Rdiff,SRS,R_G,R,RBI,OBP,OPSP,RA,ERA,SV,HA,ER,ERAP,WHIP,pos_1_age,pos_1_R,pos_1_H,pos_1_RBI,pos_1_BB,pos_1_OPSP,pos_1_TB,pos_2_age,pos_2_R,pos_2_H,pos_2_RBI,pos_2_BB,pos_2_OPSP,pos_2_TB,pos_3_age,pos_3_R,pos_3_H,pos_3_RBI,pos_3_BB,pos_3_OPSP,pos_3_TB,pos_4_age,pos_4_R,pos_4_H,pos_4_RBI,pos_4_BB,pos_4_OPSP,pos_4_TB,starting_pitcher_age,starting_pitcher_W_L_Percentage,starting_pitcher_ERA,starting_pitcher_IP,starting_pitcher_ER,starting_pitcher_SO,starting_pitcher_ERAP,starting_pitcher_FIP,starting_pitcher_WHIP,starting_pitcher_HR9,starting_pitcher_BB9,starting_pitcher_SO9
1311,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,73,113,49,35,100.000,200,29,82,154,57,43,100.000,233,29,117,166,120,94,142.000,314,26,89,133,105,87,112.000,261,27,0.519,4.030,189.200,85,178,116,4.080,1.418,1.200,2.900,8.400
1424,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,82,154,57,43,100.000,233,29,73,113,49,35,100.000,200,26,89,133,105,87,112.000,261,29,117,166,120,94,142.000,314,27,0.471,3.370,155.000,58,165,139,3.410,1.142,0.900,3.100,9.600
1439,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,82,154,57,43,100.000,233,29,73,113,49,35,100.000,200,26,89,133,105,87,112.000,261,34,38,69,43,37,116.000,139,23,0.400,5.960,25.200,17,25,80,3.240,1.403,0.400,3.500,8.800
1454,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,30,47,80,51,48,84.000,136,23,30,58,18,29,88.000,88,29,82,154,57,43,100.000,233,29,117,166,120,94,142.000,314,25,0.750,2.890,162.000,52,218,163,3.720,1.154,1.300,3.900,12.100
1469,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,82,154,57,43,100.000,233,29,73,113,49,35,100.000,200,26,89,133,105,87,112.000,261,29,117,166,120,94,142.000,314,33,0.708,3.200,202.100,72,215,147,3.310,1.072,1.100,2.000,9.600
1482,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,82,154,57,43,100.000,233,29,73,113,49,35,100.000,200,26,89,133,105,87,112.000,261,29,117,166,120,94,142.000,314,24,0.500,3.490,157.100,61,146,135,4.040,1.328,1.000,3.500,8.400
1497,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,33,43,55,13,31,77.000,80,29,73,113,49,35,100.000,200,26,89,133,105,87,112.000,261,29,117,166,120,94,142.000,314,27,0.519,4.030,189.200,85,178,116,4.080,1.418,1.200,2.900,8.400
1668,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,82,154,57,43,100.000,233,29,73,113,49,35,100.000,200,26,89,133,105,87,112.000,261,29,117,166,120,94,142.000,314,27,0.471,3.370,155.000,58,165,139,3.410,1.142,0.900,3.100,9.600
1683,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,82,154,57,43,100.000,233,34,10,17,9,1,48.000,31,29,73,113,49,35,100.000,200,29,117,166,120,94,142.000,314,33,0.708,3.200,202.100,72,215,147,3.310,1.072,1.100,2.000,9.600
1698,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,82,154,57,43,100.000,233,29,73,113,49,35,100.000,200,26,89,133,105,87,112.000,261,29,117,166,120,94,142.000,314,23,0.400,5.960,25.200,17,25,80,3.240,1.403,0.400,3.500,8.800
1710,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,82,154,57,43,100.000,233,29,73,113,49,35,100.000,200,26,89,133,105,87,112.000,261,29,117,166,120,94,142.000,314,24,0.500,3.490,157.100,61,146,135,4.040,1.328,1.000,3.500,8.400
1724,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,82,154,57,43,100.000,233,34,10,17,9,1,48.000,31,29,73,113,49,35,100.000,200,29,117,166,120,94,142.000,314,27,0.519,4.030,189.200,85,178,116,4.080,1.418,1.200,2.900,8.400
1739,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,82,154,57,43,100.000,233,34,38,69,43,37,116.000,139,26,89,133,105,87,112.000,261,29,117,166,120,94,142.000,314,27,0.471,3.370,155.000,58,165,139,3.410,1.142,0.900,3.100,9.600
1755,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,33,43,55,13,31,77.000,80,29,73,113,49,35,100.000,200,26,89,133,105,87,112.000,261,29,117,166,120,94,142.000,314,33,0.708,3.200,202.100,72,215,147,3.310,1.072,1.100,2.000,9.600
1766,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,23,30,58,18,29,88.000,88,29,73,113,49,35,100.000,200,26,89,133,105,87,112.000,261,29,117,166,120,94,142.000,314,23,0.400,5.960,25.200,17,25,80,3.240,1.403,0.400,3.500,8.800
1903,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,82,154,57,43,100.000,233,34,38,69,43,37,116.000,139,29,73,113,49,35,100.000,200,29,117,166,120,94,142.000,314,33,0.708,3.200,202.100,72,215,147,3.310,1.072,1.100,2.000,9.600
1918,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,82,154,57,43,100.000,233,34,38,69,43,37,116.000,139,29,73,113,49,35,100.000,200,29,117,166,120,94,142.000,314,24,0.500,3.490,157.100,61,146,135,4.040,1.328,1.000,3.500,8.400
1933,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,82,154,57,43,100.000,233,26,19,32,9,8,56.000,46,26,89,133,105,87,112.000,261,29,117,166,120,94,142.000,314,27,0.519,4.030,189.200,85,178,116,4.080,1.418,1.200,2.900,8.400
1959,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,82,154,57,43,100.000,233,34,38,69,43,37,116.000,139,29,73,113,49,35,100.000,200,29,117,166,120,94,142.000,314,27,0.471,3.370,155.000,58,165,139,3.410,1.142,0.900,3.100,9.600
1972,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,82,154,57,43,100.000,233,34,10,17,9,1,48.000,31,29,73,113,49,35,100.000,200,29,117,166,120,94,142.000,314,25,0.750,2.890,162.000,52,218,163,3.720,1.154,1.300,3.900,12.100
1989,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,33,43,55,13,31,77.000,80,34,38,69,43,37,116.000,139,26,89,133,105,87,112.000,261,29,117,166,120,94,142.000,314,33,0.708,3.200,202.100,72,215,147,3.310,1.072,1.100,2.000,9.600
2099,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,82,154,57,43,100.000,233,23,30,58,18,29,88.000,88,26,89,133,105,87,112.000,261,29,47,70,65,24,170.000,172,27,0.519,4.030,189.200,85,178,116,4.080,1.418,1.200,2.900,8.400
2114,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,82,154,57,43,100.000,233,34,38,69,43,37,116.000,139,26,89,133,105,87,112.000,261,29,117,166,120,94,142.000,314,27,0.471,3.370,155.000,58,165,139,3.410,1.142,0.900,3.100,9.600
2130,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,82,154,57,43,100.000,233,24,41,119,63,28,91.000,199,26,89,133,105,87,112.000,261,29,117,166,120,94,142.000,314,25,0.750,2.890,162.000,52,218,163,3.720,1.154,1.300,3.900,12.100
2145,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,82,154,57,43,100.000,233,34,38,69,43,37,116.000,139,29,73,113,49,35,100.000,200,29,117,166,120,94,142.000,314,33,0.708,3.200,202.100,72,215,147,3.310,1.072,1.100,2.000,9.600
2153,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,82,154,57,43,100.000,233,34,38,69,43,37,116.000,139,26,89,133,105,87,112.000,261,29,117,166,120,94,142.000,314,24,0.500,3.490,157.100,61,146,135,4.040,1.328,1.000,3.500,8.400
2168,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,82,154,57,43,100.000,233,23,30,58,18,29,88.000,88,26,89,133,105,87,112.000,261,29,117,166,120,94,142.000,314,27,0.519,4.030,189.200,85,178,116,4.080,1.418,1.200,2.900,8.400
2183,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,33,43,55,13,31,77.000,80,34,38,69,43,37,116.000,139,26,89,133,105,87,112.000,261,29,117,166,120,94,142.000,314,27,0.471,3.370,155.000,58,165,139,3.410,1.142,0.900,3.100,9.600
2288,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,82,154,57,43,100.000,233,29,73,113,49,35,100.000,200,29,117,166,120,94,142.000,314,29,47,70,65,24,170.000,172,33,0.708,3.200,202.100,72,215,147,3.310,1.072,1.100,2.000,9.600
2303,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,82,154,57,43,100.000,233,29,73,113,49,35,100.000,200,29,117,166,120,94,142.000,314,29,47,70,65,24,170.000,172,24,0.500,3.490,157.100,61,146,135,4.040,1.328,1.000,3.500,8.400
2318,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,82,154,57,43,100.000,233,23,30,58,18,29,88.000,88,29,117,166,120,94,142.000,314,29,47,70,65,24,170.000,172,27,0.519,4.030,189.200,85,178,116,4.080,1.418,1.200,2.900,8.400
2333,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,33,43,55,13,31,77.000,80,31,3,4,1,4,31.000,5,24,41,119,63,28,91.000,199,26,2,3,2,1,200.000,10,27,0.471,3.370,155.000,58,165,139,3.410,1.142,0.900,3.100,9.600
2345,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,82,154,57,43,100.000,233,29,73,113,49,35,100.000,200,29,117,166,120,94,142.000,314,29,47,70,65,24,170.000,172,25,0.750,2.890,162.000,52,218,163,3.720,1.154,1.300,3.900,12.100
2360,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,82,154,57,43,100.000,233,23,30,58,18,29,88.000,88,29,117,166,120,94,142.000,314,29,47,70,65,24,170.000,172,25,0.000,5.760,25.000,16,18,82,6.240,1.840,1.800,5.400,6.500
2430,0.300,0.500,5.012,812.000,3.660,0.329,94.000,4.000,127.000,43.000,1309.000,586.000,1.266,2.870,29,73,113,49,35,100.000,200,25,41,97,51,17,85.000,160,29,117,166,120,94,142.000,314,26,89,133,105,87,112.000,261,33,0.708,3.200,202.100,72,215,147,3.310,1.072,1.100,2.000,9.600
